Gene ID	Gene Name	Design Element	D20_C	pU62_B	pU62_C	D20_A	D20_B	pU62_A
ENSG00000106462	EZH2	203358_s_at	9.128468	9.037975	9.216461	9.312968	8.761464	9.156806
ENSG00000106477	CEP41	1563997_at	3.4095263	3.407254	3.703871	3.3480344	3.3875334	3.5991518
ENSG00000106477	CEP41	215637_at	5.0325522	5.129815	4.982447	5.018223	5.0176363	5.0467505
ENSG00000106477	CEP41	225484_at	7.607851	7.678791	7.921207	7.699356	7.408327	7.8521805
ENSG00000106477	CEP41	225485_at	7.548781	7.796772	7.7482424	7.6064053	7.383408	7.759853
ENSG00000106477	CEP41	239322_at	4.061858	4.8971066	4.5673294	4.3880053	4.380644	4.3309903
ENSG00000106479	ZNF862	213444_at	5.8212676	5.7511067	5.697064	5.806163	5.713661	5.801649
ENSG00000106483	SFRP4	204051_s_at	3.8835018	3.4642947	3.816536	3.8721874	3.9291441	3.8423026
ENSG00000106483	SFRP4	204052_s_at	3.1442971	2.8689802	3.2403529	3.0782967	3.233088	2.9883394
ENSG00000106484	MEST	202016_at	10.296323	10.805525	10.882172	10.363995	10.363629	10.806543
ENSG00000106511	MEOX2	206201_s_at	3.0030692	3.1394372	3.3063815	3.1423793	3.1919541	2.9113746
ENSG00000106524	ANKMY2	212798_s_at	9.712223	9.440198	9.439791	9.604693	9.617404	9.415202
ENSG00000106526	ACTR3C	223874_at	5.607142	4.6317825	4.610585	5.407365	4.96799	4.989105
ENSG00000106536	POU6F2	207450_s_at	3.4293625	3.5606647	3.9065454	3.515264	3.336833	3.5582092
ENSG00000106537	TSPAN13	217979_at	11.311877	11.447421	11.650114	11.300817	11.119576	11.553536
ENSG00000106538	RARRES2	209496_at	8.561526	10.229113	10.090947	8.61694	8.750663	10.1874485
ENSG00000106541	AGR2	209173_at	4.1901	4.485491	4.3072267	3.7390964	3.8774657	4.3485847
ENSG00000106541	AGR2	228969_at	3.5869455	3.7517352	3.864805	3.678585	3.9258988	3.747336
ENSG00000106546	AHR	202820_at	11.157058	10.265927	10.492293	11.234394	10.983943	10.44334
ENSG00000106554	CHCHD3	241164_at	3.291856	3.4578896	3.2484887	3.277821	3.5561564	3.3308678
ENSG00000106560	GIMAP2	232024_at	3.0728574	3.2257743	3.0578673	3.1578858	2.8677225	3.11308
ENSG00000106565	TMEM176B	220532_s_at	3.5959022	3.6004622	3.5518956	3.567073	3.5783858	3.7468753
ENSG00000106571	GLI3	1569342_at	3.0413125	3.1246076	3.129049	3.41439	3.2213438	3.184946
